Altium Designer Pick and Place Locations
D:\WORK\Projects\SensWear\Hardware\SensWear-V1R0\Output\Manufacturing\Assembly\Generates pick and place files\Pick Place for SensWear-V1R0-MainBoard.csv

========================================================================================================================
File Design Information:

Date:       23/07/25
Time:       16:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"AC","TESTPAD","BottomLayer","TEST_PAD","60.8000","28.5000","90","TESTPOINT PIN SMD"
"AC_GND","TESTPAD","BottomLayer","TEST_PAD","60.8000","26.5500","90","TESTPOINT PIN SMD"
"U5","LP5562TME","TopLayer","BGA12C40P4X3_162X122X68","55.4250","28.7250","0","IC LED DRIVER LINEAR DIM 25.5MA"
"C11","0.1 uF","TopLayer","CAPC1005X05N","53.8500","28.7750","270","CAP CER 0.1UF 16V X5R 0402"
"R16","1.5 k","TopLayer","RESC1005X04N","53.9750","26.7350","90","RES SMD 1.5K OHM 1% 1/10W 0402"
"R15","1.5 k","TopLayer","RESC1005X04N","54.8250","26.7250","90","RES SMD 1.5K OHM 1% 1/10W 0402"
"X2","32.768kHz","TopLayer","Abracon_ABS6_2012X06L","54.4250","31.9250","90","CRYSTAL 32.768 KHZ 12.5 PF SMD"
"X1","32 MHz","TopLayer","FP-ABM11W-MFG","40.0875","32.1975","180","CRYSTAL 32.0000MHZ 8PF SMD, 2x1.6mm, RoHS"
"U8","BHI360","TopLayer","BHI360","57.9750","31.7495","0","Programmable smart sensor combining accelerometer, gyroscope and fusion software"
"U7","BQ27427YZFR","TopLayer","BGA9C50P3X3_158X162X62","72.6750","31.3000","0","Single-cell battery fuel gauge with pre-programmed chemistry and integrated sense resistor 9-DSBGA -40 to 85"
"U6","TPSM83102SIUR","BottomLayer","MICROSIP8_SIU-A_TEX-M","69.0750","27.1473","270","1.5A output current, buck-boost MicroSiP� power module with integrated inductor with I�C 8-uSiP -40 to 125"
"U4","BQ25180YBGR","TopLayer","BGA8C40P2X4_104X159X50","71.4750","27.9250","0","1-A Li-ion I�C programmable charger with regulated power path in WCSP package 8-DSBGA -40 to 85"
"U3","TPS62840YBGR","TopLayer","BGA6C40P2X3_97X147X50","70.1750","32.6750","90","Conv DC-DC 1.8V to 6.5V Synchronous Step Down Single-Out 1.8V to 3.3V 0.75A 6-Pin DSBGA T/R"
"U2","M95P32-IXCST/EF","TopLayer","BGA8C70P2X4_153X261X58","45.7500","28.0500","180","M95P32-I Series 32 Mb (4 M x 8) 80 MHz SPI EEPROM Memory IC - WLCSP-8"
"U1","NRF54L15-QF","BottomLayer","QFN40P600X600X95-49N","44.5500","29.6350","180","nRF54L15 SoC with Arm Cortex-M33 processor"
"R19","10 k","TopLayer","RESC1005X04N","74.5750","32.4500","0","RES SMD 10K OHM 1% 1/10W 0402"
"R14","0R0","TopLayer","RESC1005X04N","28.3500","30.8000","0","RES SMD 0.0OHM JUMPER 1/10W 0402"
"R13","0R0","TopLayer","RESC1005X04N","32.4100","28.0000","0","RES SMD 0.0OHM JUMPER 1/10W 0402"
"R9","1 M","TopLayer","RESC1005X04N","26.1500","28.0000","90","RES SMD 1M OHM 1% 1/10W 0402"
"R8","1 M","TopLayer","RESC1005X04N","43.4750","28.3600","270","RES SMD 1M OHM 1% 1/10W 0402"
"R7","1 M","TopLayer","RESC1005X04N","74.1500","31.1500","270","RES SMD 1M OHM 1% 1/10W 0402"
"R6","1 M","TopLayer","RESC1005X04N","69.3400","26.1500","180","RES SMD 1M OHM 1% 1/10W 0402"
"R4","100 k","TopLayer","RESC1005X04N","73.1750","27.6900","90","RES SMD 100K OHM 1% 1/10W 0402"
"R3","1 M","TopLayer","RESC1005X04N","42.6250","28.3500","270","RES SMD 1M OHM 1% 1/10W 0402"
"R1","1 M","TopLayer","RESC1005X04N","47.3000","29.8750","90","RES SMD 1M OHM 1% 1/10W 0402"
"P3","51281-1098","BottomLayer","MOLEX_512811098","72.9500","29.5250","270","FFC/FPC Connector, Surface Mount, Right-Angle, Non-ZIF, Dual Contact Style"
"P2","504754-1100","BottomLayer","5047541100","27.5000","28.6000","90","Conn FFC/FPC Connector SKT 11 POS 0.3mm Solder RA SMD Easy-On� T/R"
"P1","RM-1238-B02-41","BottomLayer","RM-1238-B02-41_2","57.6625","26.7375","180","RM-1238-B02-41 by www.xtpogopin.com"
"LED1","SML-LX0404SIUPGUSB","TopLayer","SML-LX0404SIUPGUSB","57.6000","29.0500","270","LED Low-Power Tri-Color Blue/Green/Red 465nm/518nm/632nm 2.7V/2.75V/1.95V 4-Pin SMD T/R"
"L6","3.5 nH","TopLayer","INDC1005X06N","31.5000","27.0250","180","Inductor Chip 3.5nH 0.1nH Tolerance 2-Pin 0402 Paper T/R"
"L5","3.5 nH","TopLayer","INDC1005X06N","33.7750","29.2500","270","Inductor Chip 3.5nH 0.1nH Tolerance 2-Pin 0402 Paper T/R"
"L4","2.7 nH","BottomLayer","INDC1005X06N","39.8000","29.8350","180","Inductor Chip 2.7nH 0.1nH Tolerance 2-Pin 0402 Paper T/R"
"L3","4.7uH","TopLayer","INDC1005X06N","45.9250","31.9000","0","Inductor Power Chip Shielded Multi-Layer 4.7uH 20% 1MHz Ferrite 0.08A 0.78Ohm DCR 0603 T/R"
"L1","2.2 uH","BottomLayer","FP-DFE201612C-MFG","69.4750","32.5000","180","Inductor Power Shielded Wirewound 2.2uH 20% 1MHz Metal 1.8A 0.116Ohm DCR 0806 T/R"
"GND","TESTPAD","TopLayer","TEST_PAD","74.5750","28.1250","180","TESTPOINT PIN SMD"
