Altium Designer Pick and Place Locations
D:\WORK\Projects\SensWear\hardware-v1\SensWear-V1R2-Debug\Output\Manufacturing\Assembly\Generates pick and place files\Pick Place for SensWear-V1R2-Debug.csv

========================================================================================================================
File Design Information:

Date:       01/07/26
Time:       17:44
Revision:   38ca486f9c11d28f2237f2dba5ff28e7f0918d4d
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R79","1 k","BottomLayer","RESC1005X04N","29.8870","10.0730","90","RES SMD 1K OHM 1% 1/10W 0402"
"R78","1 k","BottomLayer","RESC1005X04N","29.8870","8.3980","270","RES SMD 1K OHM 1% 1/10W 0402"
"R77","1 k","BottomLayer","RESC1005X04N","21.9250","23.7830","90","RES SMD 1K OHM 1% 1/10W 0402"
"R76","1 k","BottomLayer","RESC1005X04N","21.9250","22.0580","270","RES SMD 1K OHM 1% 1/10W 0402"
"R75","1 k","BottomLayer","RESC1005X04N","23.6480","10.0900","90","RES SMD 1K OHM 1% 1/10W 0402"
"R74","1 k","BottomLayer","RESC1005X04N","23.6480","8.3850","270","RES SMD 1K OHM 1% 1/10W 0402"
"R67","100 R","BottomLayer","RESC1005X04N","21.1900","14.1000","180","RES SMD 100 OHM 1% 1/10W 0402"
"R66","100 R","BottomLayer","RESC1005X04N","21.2150","12.0750","180","RES SMD 100 OHM 1% 1/10W 0402"
"R65","100 R","BottomLayer","RESC1005X04N","21.1900","20.1000","180","RES SMD 100 OHM 1% 1/10W 0402"
"R64","100 R","BottomLayer","RESC1005X04N","21.1900","18.1000","180","RES SMD 100 OHM 1% 1/10W 0402"
"C51","4.7uF","BottomLayer","CAPC1005X05N","39.5500","16.9500","270","Multilayer Ceramic Capacitor, 4.7 uF, 10 V, ± 20%, X5R, 0402 [1005 Metric]"
"C50","4.7 uF","BottomLayer","CAPC1610X05N","37.9000","15.6500","180","CAP CER 4.7UF 10V X5R 0603"
"U55","SN74LVC1G17YZPR","BottomLayer","YZP0005ADAD","19.4250","12.8250","270","Schmitt Trigger 32mA 1 1.65V~5.5V 32mA 1 BGA-5 Buffer/Driver/Transceiver ROHS"
"U54","SN74LVC1G17YZPR","BottomLayer","YZP0005ADAD","19.1750","19.3500","270","Schmitt Trigger 32mA 1 1.65V~5.5V 32mA 1 BGA-5 Buffer/Driver/Transceiver ROHS"
"U51","TPS62840YBGR","BottomLayer","BGA6C40P2X3_97X147X50","38.0750","17.0000","90","Conv DC-DC 1.8V to 6.5V Synchronous Step Down Single-Out 1.8V to 3.3V 0.75A 6-Pin DSBGA T/R"
"U50","FPF1320UCX","BottomLayer","BGA6C50P2X3_96X146X62","24.4828","17.0861","90","IC ADVANCED POWER SWITCH 6WLCSP"
"R73","620 R","BottomLayer","RESC1005X04N","33.7120","10.0080","0","RES SMD 620 OHM 1% 1/10W 0402"
"R72","620 R","BottomLayer","RESC1005X04N","33.7620","8.5580","0","RES SMD 620 OHM 1% 1/10W 0402"
"R71","620 R","BottomLayer","RESC1005X04N","25.7150","23.7830","0","RES SMD 620 OHM 1% 1/10W 0402"
"R70","620 R","BottomLayer","RESC1005X04N","27.4480","9.9500","0","RES SMD 620 OHM 1% 1/10W 0402"
"R69","620 R","BottomLayer","RESC1005X04N","27.4480","8.5500","0","RES SMD 620 OHM 1% 1/10W 0402"
"R68","620 R","BottomLayer","RESC1005X04N","25.7000","22.3830","0","RES SMD 620 OHM 1% 1/10W 0402"
"R63","1 k","BottomLayer","RESC1005X04N","30.5078","12.4861","180","RES SMD 1K OHM 1% 1/10W 0402"
"R55","267kO","BottomLayer","RESC1005X04N","36.7500","18.5850","270","Res Thick Film 0402 267K Ohm 1% 1/10W ±100ppm/°C Molded SMD Punched Carrier T/R"
"R54","1 M","BottomLayer","RESC1005X04N","24.5828","15.7861","0","RES SMD 1M OHM 1% 1/10W 0402"
"L50","2.2 uH","BottomLayer","FP-DFE201612C-MFG","38.5750","18.8750","0","Inductor Power Shielded Wirewound 2.2uH 20% 1MHz Metal 1.8A 0.116Ohm DCR 0806 T/R"
"C72","0.1 uF","BottomLayer","CAPC1005X05N","18.2000","12.4750","90","CAP CER 0.1UF 10V X5R 0402"
"C71","0.1 uF","BottomLayer","CAPC1005X05N","17.9250","19.6750","90","CAP CER 0.1UF 10V X5R 0402"
"C64","4.7 uF","BottomLayer","CAPC1610X05N","34.5900","15.1550","0","CAP CER 4.7UF 10V X5R 0603"
"C65","4.7 uF","BottomLayer","CAPC1610X05N","34.2150","18.2800","180","CAP CER 4.7UF 10V X5R 0603"
"FB50","BLM15AG601SN1D","BottomLayer","MURA-BLM15-CHIP-2_V","34.6400","19.4800","180","FERRITE BEAD 600 OHM 0402 1LN"
"R60","5.1 k","BottomLayer","RESC1005X04N","32.8900","14.9300","270","RES SMD 5.1K OHM 1% 1/10W 0402"
"R61","5.1 k","BottomLayer","RESC1005X04N","35.9150","18.5800","90","RES SMD 5.1K OHM 1% 1/10W 0402"
"USB50","DX07S024JJ3R1300","TopLayer","JAE-DX07S024JJ3R1300-MFG","36.3000","16.8550","90","Cut Tape - Usb Type C Receptacle Mid Mnt Dual R"
"U52","PRTR5V0U2F","BottomLayer","SON50P100X50-6N","34.1525","16.7300","270","TVS DIODE 5.5VWM SOT886"
"C55","0.1 uF","TopLayer","CAPC1005X05N","26.6328","20.1000","180","CAP CER 0.1UF 10V X5R 0402"
"C56","0.1 uF","BottomLayer","CAPC1005X05N","30.4578","15.8000","0","CAP CER 0.1UF 10V X5R 0402"
"C57","0.1 uF","BottomLayer","CAPC1005X05N","26.4828","16.1750","0","CAP CER 0.1UF 10V X5R 0402"
