ItemType,DestinationName,SourceName,SourceLibrary,Status,Details
"DIAGNOSTIC","Local libraries indexed","","10","INFO","521 symbols; 313 footprints"
"FOOTPRINT","5047541100","5047541100","D:\WORK\Projects\OpenRing\Hardware\Components\Connectors.PcbLib","COPIED","33 primitives"
"FOOTPRINT","RESC1005X04N","RESC1005X04N","D:\WORK\Projects\OpenRing\Hardware\Components\Passives.PcbLib","COPIED","22 primitives"
"FOOTPRINT","TEST_PAD","TEST_PAD","D:\WORK\Projects\OpenRing\Hardware\Components\Connectors.PcbLib","COPIED","4 primitives"
"FOOTPRINT","BGA12C40P4X3_162X122X68","BGA12C40P4X3_162X122X68","D:\WORK\Projects\OpenRing\Hardware\Components\ICs.PcbLib","COPIED","37 primitives"
"FOOTPRINT","CAPC1005X05N","CAPC1005X05N","D:\WORK\Projects\OpenRing\Hardware\Components\Passives.PcbLib","COPIED","22 primitives"
"FOOTPRINT","Abracon_ABS6_2012X06L","Abracon_ABS6_2012X06L","D:\WORK\Projects\OpenRing\Hardware\Components\Passives.PcbLib","COPIED","22 primitives"
"FOOTPRINT","FP-ABM11W-MFG","FP-ABM11W-MFG","D:\WORK\Projects\OpenRing\Hardware\Components\Passives.PcbLib","COPIED","23 primitives"
"FOOTPRINT","BHI360","BHI360","D:\WORK\Projects\OpenRing\Hardware\Components\ICs.PcbLib","COPIED","39 primitives"
"FOOTPRINT","BGA9C50P3X3_158X162X62","BGA9C50P3X3_158X162X62","D:\WORK\Projects\OpenRing\Hardware\Components\ICs.PcbLib","COPIED","22 primitives"
"FOOTPRINT","MICROSIP8_SIU-A_TEX-M","MICROSIP8_SIU-A_TEX-M","D:\WORK\Projects\OpenRing\Hardware\Components\ICs.PcbLib","COPIED","27 primitives"
"FOOTPRINT","BGA8C40P2X4_104X159X50","BGA8C40P2X4_104X159X50","D:\WORK\Projects\OpenRing\Hardware\Components\ICs.PcbLib","COPIED","21 primitives"
"FOOTPRINT","BGA6C40P2X3_97X147X50","BGA6C40P2X3_97X147X50","D:\WORK\Projects\OpenRing\Hardware\Components\ICs.PcbLib","COPIED","19 primitives"
"FOOTPRINT","BGA8C70P2X4_153X261X58","BGA8C70P2X4_153X261X58","D:\WORK\Projects\OpenRing\Hardware\Components\ICs.PcbLib","COPIED","21 primitives"
"FOOTPRINT","QFN40P600X600X95-49N","QFN40P600X600X95-49N","D:\WORK\Projects\OpenRing\Hardware\Components\ICs.PcbLib","COPIED","70 primitives"
"FOOTPRINT","51281-1098","51281-1098","D:\WORK\Projects\OpenRing\Hardware\Components\Connectors.PcbLib","COPIED","22 primitives"
"FOOTPRINT","RM-1238-B02-41_2","RM-1238-B02-41_2","D:\WORK\Projects\OpenRing\Hardware\Components\Connectors.PcbLib","COPIED","10 primitives"
"FOOTPRINT","SML-LX0404SIUPGUSB","SML-LX0404SIUPGUSB","D:\WORK\Projects\OpenRing\Hardware\Components\Passives.PcbLib","COPIED","23 primitives"
"FOOTPRINT","INDC1005X06N","INDC1005X06N","D:\WORK\Projects\OpenRing\Hardware\Components\Passives.PcbLib","COPIED","22 primitives"
"FOOTPRINT","FP-DFE201612C-MFG","FP-DFE201612C-MFG","D:\WORK\Projects\OpenRing\Hardware\Components\Passives.PcbLib","COPIED","18 primitives"
"FOOTPRINT","CAPC1610X05N","CAPC1610X05N","D:\WORK\Projects\OpenRing\Hardware\Components\Passives.PcbLib","COPIED","22 primitives"
"FOOTPRINT","ANTC3216X130N","ANTC3216X130N","D:\WORK\Projects\OpenRing\Hardware\Components\RFComponents.PcbLib","COPIED","16 primitives"
"FOOTPRINT","SODFL360X110-2N","SODFL360X110-2N","D:\WORK\Projects\OpenRing\Hardware\Components\Passives.PcbLib","COPIED","21 primitives"
